# round	mode	threads	workers	kind	index	value_us	collections
1	checked	4	3	reset	198	34.285	0
1	checked	4	3	reset	199	33.483	0
1	checked	4	3	reset	200	34.415	0
1	checked	4	3	stall	1	55.715	0
1	checked	4	3	stall	2	65.463	0
1	checked	4	3	stall	3	421.125	0
1	unsafe	4	3	reset	1	0.311	0
1	unsafe	4	3	reset	2	0.09	0
1	unsafe	4	3	reset	3	0.11	0
1	unsafe	4	3	reset	4	0.11	0
1	unsafe	4	3	reset	5	0.07	0
1	unsafe	4	3	reset	6	0.09	0
1	unsafe	4	3	reset	7	0.33	0
1	unsafe	4	3	reset	8	0.13	0
1	unsafe	4	3	reset	9	0.07	0
1	unsafe	4	3	reset	10	0.07	0
1	unsafe	4	3	reset	11	0.07	0
1	unsafe	4	3	reset	12	0.16	0
1	unsafe	4	3	reset	13	0.07	0
1	unsafe	4	3	reset	14	0.321	0
1	unsafe	4	3	reset	15	0.09	0
1	unsafe	4	3	reset	16	0.12	0
1	unsafe	4	3	reset	17	0.27	0
1	unsafe	4	3	reset	18	0.18	0
1	unsafe	4	3	reset	19	0.08	0
1	unsafe	4	3	reset	20	0.1	0
1	unsafe	4	3	reset	21	0.1	0
1	unsafe	4	3	reset	22	0.32	0
1	unsafe	4	3	reset	23	0.32	0
1	unsafe	4	3	reset	24	0.3	0
1	unsafe	4	3	reset	25	0.07	0
1	unsafe	4	3	reset	26	0.12	0
1	unsafe	4	3	reset	27	0.07	0
1	unsafe	4	3	reset	28	0.08	0
1	unsafe	4	3	reset	29	0.08	0
1	unsafe	4	3	reset	30	0.11	0
1	unsafe	4	3	reset	31	0.12	0
1	unsafe	4	3	reset	32	0.101	0
1	unsafe	4	3	reset	33	0.071	0
1	unsafe	4	3	reset	34	0.08	0
1	unsafe	4	3	reset	35	0.1	0
1	unsafe	4	3	reset	36	0.07	0
1	unsafe	4	3	reset	37	0.09	0
1	unsafe	4	3	reset	38	0.1	0
1	unsafe	4	3	reset	39	0.09	0
1	unsafe	4	3	reset	40	0.091	0
1	unsafe	4	3	reset	41	0.09	0
1	unsafe	4	3	reset	42	0.1	0
1	unsafe	4	3	reset	43	0.07	0
1	unsafe	4	3	reset	44	0.09	0
1	unsafe	4	3	reset	45	0.08	0
1	unsafe	4	3	reset	46	0.08	0
1	unsafe	4	3	reset	47	0.08	0
1	unsafe	4	3	reset	48	0.07	0
1	unsafe	4	3	reset	49	0.091	0
1	unsafe	4	3	reset	50	0.08	0
1	unsafe	4	3	reset	51	0.1	0
1	unsafe	4	3	reset	52	0.14	0
1	unsafe	4	3	reset	53	0.09	0
1	unsafe	4	3	reset	54	0.11	0
1	unsafe	4	3	reset	55	0.08	0
1	unsafe	4	3	reset	56	0.09	0
1	unsafe	4	3	reset	57	0.08	0
1	unsafe	4	3	reset	58	0.07	0
1	unsafe	4	3	reset	59	0.08	0
1	unsafe	4	3	reset	60	0.07	0
1	unsafe	4	3	reset	61	0.11	0
1	unsafe	4	3	reset	62	0.08	0
1	unsafe	4	3	reset	63	0.08	0
